date,title,description,category,post_description
09-04,くしの日,9と4で「くし」の語呂合わせ,美容・ファッション,髪の健康と美容を考える日
09-09,救急の日,9と9で「きゅうきゅう」の語呂合わせ,医療・安全,救急医療の大切さを認識する日
09-18,かいわれ大根の日,日本かいわれ協会が制定,食べ物,栄養豊富なかいわれ大根の日
09-20,バスの日,日本で初めてバスが運行された,交通・歴史,公共交通バスに感謝する日
09-23,海王星の日,海王星が発見された,宇宙・科学,太陽系の惑星発見を記念する日
09-28,パソコン記念日,日本で初めてパソコンが発売された,IT・技術,デジタル時代の始まりを記念
10-01,コーヒーの日,コーヒーの需要期の始まり,飲み物,香り高いコーヒーを楽しむ日
10-04,いわしの日,10と4で「いわし」の語呂合わせ,食べ物,栄養豊富ないわしを見直す日
10-08,入れ歯の日,10と8で「いれば」の語呂合わせ,健康・医療,歯の健康と入れ歯のケアの日
10-10,目の愛護デー,10を横にすると眉と目に見える,健康,目の健康を大切にする日
10-10,銭湯の日,1010で「千十（せんとう）」の語呂合わせ,文化・健康,日本の銭湯文化を楽しむ日
10-13,さつまいもの日,栗（九里）より（四里）うまい十三里,食べ物,秋の味覚さつまいもを楽しむ日
10-18,ミニスカートの日,イギリスでミニスカートが誕生,ファッション,若々しいファッションの象徴の日
10-24,国連デー,国際連合が発足した日,国際・平和,世界平和を願う国際的な日
11-01,寿司の日,新米の季節で寿司がおいしい時期,食べ物,日本の伝統食寿司を楽しむ日
11-03,文化の日,自由と平和を愛し文化をすすめる,祝日・文化,日本の文化と芸術を称える祝日
11-05,いいたまごの日,11と5で「いいたまご」の語呂合わせ,食べ物,栄養満点の卵に感謝する日
11-08,いい歯の日,11と8で「いい歯」の語呂合わせ,健康,歯の健康維持の大切さを再認識
11-11,ポッキー&プリッツの日,1が4本並んで形が似ている,食べ物,細長いお菓子を楽しむ日
11-11,チーズの日,チーズの製造が奨励された日,食べ物,様々なチーズを味わう日
11-15,七五三,子どもの成長を祝う伝統行事,伝統・家族,3歳・5歳・7歳の成長を祝う
11-18,いい家の日,11と18で「いい家」の語呂合わせ,住まい・生活,住まいの大切さを考える日
11-22,いい夫婦の日,11と22で「いい夫婦」の語呂合わせ,家族・愛情,夫婦の絆を深める記念日
11-29,いい肉の日,11と29で「いい肉」の語呂合わせ,食べ物,美味しいお肉を楽しむ日
12-03,カレンダーの日,太陽暦が採用された日,文化・歴史,暦の歴史を振り返る日
12-06,音の日,エジソンが蓄音機を発明した,科学・文化,音楽や音声記録の歴史的な日
12-10,世界人権デー,国際連合が発足した日,国際・人権,すべての人の権利を守る国際的な日
12-12,漢字の日,12と12で「いい字いち字」の語呂合わせ,文化・言語,今年の漢字が発表される日
12-22,冬至,一年で最も昼が短い日,季節・伝統,かぼちゃとゆず湯で無病息災を願う
12-23,東京タワー完成の日,東京タワーが完成した,建築・歴史,東京のシンボルタワー誕生の日

